For USB-connected radios select the Rig# below:

 Rig #  Mfg                    Model                   Version         Status      Macro
   RTS  DigiRig                DigiRig    (ttyUSB0)
   DTR  DigiHat                DigiPi Hat (ttyUSB0)
 27001  Rohde&Schwarz          ESMC                    20090803.0      Stable      RIG_MODEL_ESMC
 27002  Rohde&Schwarz          EB200                   20090803.0      Beta        RIG_MODEL_EB200
 27003  Rohde&Schwarz          XK2100                  20210901.0      Stable      RIG_MODEL_XK2100
 27004  Rohde&Schwarz          EK895/6                 20220813.0      Stable      RIG_MODEL_EK89X
 27005  Rohde&Schwarz          XK852                   20240921.0      Alpha       RIG_MODEL_XK852
 28001  Philips/Simoco         PRM8060                 20231002.0.0    Stable      RIG_MODEL_PRM8060
 29001  ADAT www.adat.ch       ADT-200A                20230927.0      Stable      RIG_MODEL_ADT_200A
 30001  Icom                   IC-M700PRO              20181007.0      Stable      RIG_MODEL_IC_M700PRO
 30002  Icom                   IC-M802                 20181007.0      Stable      RIG_MODEL_IC_M802
 30003  Icom                   IC-M710                 20181007.0      Stable      RIG_MODEL_IC_M710
 30004  Icom                   IC-M803                 20181007.0      Stable      RIG_MODEL_IC_M803
 31001  Dorji                  DRA818V                 20191209.0      Beta        RIG_MODEL_DORJI_DRA818V
 31002  Dorji                  DRA818U                 20191209.0      Beta        RIG_MODEL_DORJI_DRA818U
 32001  Barrett                2050                    20240422.0      Stable      RIG_MODEL_BARRETT_2050
 32002  Barrett                950                     20240422.1      Stable      RIG_MODEL_BARRETT_950
 32003  Barrett                4050                    20240422.0      Stable      RIG_MODEL_BARRETT_4050
 32004  Rhode&Schwarz          4100                    20240422.1      Beta        RIG_MODEL_BARRETT_4100
 33001  ELAD                   FDM-DUO                 20220608.0      Stable      RIG_MODEL_ELAD_FDM_DUO
 34001  CODAN                  Envoy                   20240318.0      Stable      RIG_MODEL_CODAN_ENVOY
 34002  CODAN                  NGT                     20240318.0      Stable      RIG_MODEL_CODAN_NGT
 35001  GOMSPACE               GS100                   20211117.0      Stable      RIG_MODEL_GS100
 36001  MDS                    4710                    20221114.0      Beta        RIG_MODEL_MDS4710
 36002  MDS                    9710                    20221116.0      Beta        RIG_MODEL_MDS9710
 37001  AnyTone                D578A                   20231001.0      Beta        RIG_MODEL_ATD578UVIII
 38001  Micom                  Micom 2/3               20240504.0      Alpha       RIG_MODEL_MICOM2
 39001  Commradio              CTX-10                  20240809.0      Stable      RIG_MODEL_CTX10
